,Player,variable,Year,win,all_time
189,Novak Djokovic ,Australian Open,2002,0,0
199,Novak Djokovic ,Australian Open,2003,0,0
190,Novak Djokovic ,Australian Open,2004,0,0
197,Novak Djokovic ,Australian Open,2005,0,0
191,Novak Djokovic ,Australian Open,2006,0,0
192,Novak Djokovic ,Australian Open,2007,0,0
6,Novak Djokovic ,Australian Open,2008,1,1
193,Novak Djokovic ,Australian Open,2009,0,1
194,Novak Djokovic ,Australian Open,2010,0,1
9,Novak Djokovic ,Australian Open,2011,1,2
10,Novak Djokovic ,Australian Open,2012,1,3
11,Novak Djokovic ,Australian Open,2013,1,4
198,Novak Djokovic ,Australian Open,2014,0,4
12,Novak Djokovic ,Australian Open,2015,1,5
13,Novak Djokovic ,Australian Open,2016,1,6
195,Novak Djokovic ,Australian Open,2017,0,6
196,Novak Djokovic ,Australian Open,2018,0,6
16,Novak Djokovic ,Australian Open,2019,1,7
17,Novak Djokovic ,Australian Open,2020,1,8
230,Novak Djokovic ,French Open,2002,0,0
247,Novak Djokovic ,French Open,2003,0,0
231,Novak Djokovic ,French Open,2004,0,0
245,Novak Djokovic ,French Open,2005,0,0
232,Novak Djokovic ,French Open,2006,0,0
233,Novak Djokovic ,French Open,2007,0,0
234,Novak Djokovic ,French Open,2008,0,0
235,Novak Djokovic ,French Open,2009,0,0
236,Novak Djokovic ,French Open,2010,0,0
237,Novak Djokovic ,French Open,2011,0,0
238,Novak Djokovic ,French Open,2012,0,0
239,Novak Djokovic ,French Open,2013,0,0
246,Novak Djokovic ,French Open,2014,0,0
240,Novak Djokovic ,French Open,2015,0,0
28,Novak Djokovic ,French Open,2016,1,1
241,Novak Djokovic ,French Open,2017,0,1
242,Novak Djokovic ,French Open,2018,0,1
243,Novak Djokovic ,French Open,2019,0,1
244,Novak Djokovic ,French Open,2020,0,1
214,Novak Djokovic ,US Open,2002,0,0
229,Novak Djokovic ,US Open,2003,0,0
215,Novak Djokovic ,US Open,2004,0,0
227,Novak Djokovic ,US Open,2005,0,0
216,Novak Djokovic ,US Open,2006,0,0
217,Novak Djokovic ,US Open,2007,0,0
218,Novak Djokovic ,US Open,2008,0,0
219,Novak Djokovic ,US Open,2009,0,0
220,Novak Djokovic ,US Open,2010,0,0
54,Novak Djokovic ,US Open,2011,1,1
221,Novak Djokovic ,US Open,2012,0,1
222,Novak Djokovic ,US Open,2013,0,1
228,Novak Djokovic ,US Open,2014,0,1
56,Novak Djokovic ,US Open,2015,1,2
223,Novak Djokovic ,US Open,2016,0,2
224,Novak Djokovic ,US Open,2017,0,2
58,Novak Djokovic ,US Open,2018,1,3
225,Novak Djokovic ,US Open,2019,0,3
226,Novak Djokovic ,US Open,2020,0,3
200,Novak Djokovic ,Wimbledon,2002,0,0
213,Novak Djokovic ,Wimbledon,2003,0,0
201,Novak Djokovic ,Wimbledon,2004,0,0
212,Novak Djokovic ,Wimbledon,2005,0,0
202,Novak Djokovic ,Wimbledon,2006,0,0
203,Novak Djokovic ,Wimbledon,2007,0,0
204,Novak Djokovic ,Wimbledon,2008,0,0
205,Novak Djokovic ,Wimbledon,2009,0,0
206,Novak Djokovic ,Wimbledon,2010,0,0
41,Novak Djokovic ,Wimbledon,2011,1,1
207,Novak Djokovic ,Wimbledon,2012,0,1
208,Novak Djokovic ,Wimbledon,2013,0,1
43,Novak Djokovic ,Wimbledon,2014,1,2
44,Novak Djokovic ,Wimbledon,2015,1,3
209,Novak Djokovic ,Wimbledon,2016,0,3
210,Novak Djokovic ,Wimbledon,2017,0,3
46,Novak Djokovic ,Wimbledon,2018,1,4
47,Novak Djokovic ,Wimbledon,2019,1,5
211,Novak Djokovic ,Wimbledon,2020,0,5
0,Pete Sampras,Australian Open,2002,0,2
77,Pete Sampras,Australian Open,2003,0,2
60,Pete Sampras,Australian Open,2004,0,2
75,Pete Sampras,Australian Open,2005,0,2
61,Pete Sampras,Australian Open,2006,0,2
62,Pete Sampras,Australian Open,2007,0,2
63,Pete Sampras,Australian Open,2008,0,2
64,Pete Sampras,Australian Open,2009,0,2
65,Pete Sampras,Australian Open,2010,0,2
66,Pete Sampras,Australian Open,2011,0,2
67,Pete Sampras,Australian Open,2012,0,2
68,Pete Sampras,Australian Open,2013,0,2
